Time of Day	Event type	Apparition Type	Image/Video/Visual Evidence	Audio Evidence
night	Unexplained Movements and Physical Manifestations	Several Ghosts	True	True
night	Mysterious Occurrences	Orb	False	False
Unknown	Unexplained Movements and Physical Manifestations	Several Ghosts	True	True
Unknown	Unexplained Movements and Physical Manifestations	Unknown	True	True
Unknown	Ghostly Sightings	Several Ghosts	False	True
night	Unexplained Movements and Physical Manifestations	Unknown	False	True
Unknown		Unknown	False	False
Unknown	Unexplained Movements and Physical Manifestations	Several Ghosts	True	True
Unknown	Murder	Unknown	False	True
night	Object and Environmental Manipulation	Unknown	True	False
night	Violent or Tragic Deaths	Unknown	False	True
Unknown		Unknown	False	False
Unknown	Unexplained Movements and Physical Manifestations	Unknown	True	False
Unknown	Fire and Destruction	Several Ghosts	False	False
night		Unknown	True	False
night	Murder	Female Ghost	False	True
Unknown	Violent or Tragic Deaths	Unknown	True	True
Unknown	Unexplained Movements and Physical Manifestations	Female Ghost	False	False
Unknown	Sounds and Noises	Several Ghosts	True	True
Unknown	Mysterious Occurrences	Unknown	False	True
Unknown	Unexplained Movements and Physical Manifestations	Unknown	False	False
Unknown		Unknown	True	True
Unknown	Violent or Tragic Deaths	Child Ghost	False	True
Unknown	Ghostly Sightings	Several Ghosts	True	False
Unknown	Unexplained Movements and Physical Manifestations	Several Ghosts	True	False
night	Ghostly Sightings	Child Ghost	True	False
Unknown	Unexplained Movements and Physical Manifestations	Several Ghosts	False	False
night	Unexplained Movements and Physical Manifestations	Unknown	False	False
evening	Ghostly Sightings	Female Ghost	True	True
Unknown	Unexplained Movements and Physical Manifestations	Female Ghost	True	False
night	Ghostly Sightings	Several Ghosts	True	False
night	Ghostly Sightings	Female Ghost	True	True
afternoon	Unexplained Movements and Physical Manifestations	Unknown	False	False
night	Object and Environmental Manipulation	Unknown	False	True
Unknown		Unknown	False	True
night		Unknown	True	False
Unknown	Ghostly Sightings	Male Ghost	False	False
night	Ghostly Sightings	Several Ghosts	True	True
night	Ghostly Sightings	Male Ghost	False	True
Unknown	Unexplained Movements and Physical Manifestations	Child Ghost	True	True
night	Sounds and Noises	Several Ghosts	True	True
Unknown	Ghostly Sightings	Several Ghosts	False	True
night	Ghostly Sightings	Several Ghosts	True	True
morning	Unexplained Movements and Physical Manifestations	Child Ghost	False	True
night	Object and Environmental Manipulation	Unknown	True	False
Unknown	Unexplained Movements and Physical Manifestations	Several Ghosts	True	False
night		Unknown	True	False
evening		Unknown	False	True
Unknown		Unknown	False	False
Unknown	Ghostly Sightings	Unknown	True	False
Unknown	Ghostly Sightings	Male Ghost	True	False
Unknown	Ghostly Sightings	Unknown	True	True
Unknown	Violent or Tragic Deaths	Unknown	True	False
Unknown		Unknown	False	False
Unknown	Ghostly Sightings	Unknown	True	True
night	Ghostly Sightings	Several Ghosts	False	False
night	Violent or Tragic Deaths	Unknown	False	False
Unknown	Unexplained Movements and Physical Manifestations	Unknown	True	True
Unknown		Unknown	True	False
night		Unknown	True	False
Unknown	Violent or Tragic Deaths	Unknown	True	False
night	Violent or Tragic Deaths	Unknown	True	True
night	Ghostly Sightings	Female Ghost	False	True
Unknown		Unknown	True	True
Unknown	Ghostly Sightings	Several Ghosts	True	False
night	Ghostly Sightings	Female Ghost	False	True
Unknown		Unknown	False	False
night	Violent or Tragic Deaths	Unknown	True	True
Unknown	Unexplained Movements and Physical Manifestations	Female Ghost	True	False
night	Ghostly Sightings	Unknown	False	True
night	Ghostly Sightings	Male Ghost	True	False
night	Violent or Tragic Deaths	Unknown	False	True
Unknown		Unknown	False	False
Unknown	Ghostly Sightings	Child Ghost	True	False
Unknown	Ghostly Sightings	Male Ghost	False	True
Unknown	Unexplained Movements and Physical Manifestations	Male Ghost	True	True
night	Violent or Tragic Deaths	Several Ghosts	False	True
Unknown	Unexplained Movements and Physical Manifestations	Child Ghost	False	True
night		Unknown	False	False
night	Sounds and Noises	Unknown	True	True
night	Murder	Several Ghosts	True	True
Unknown		Unknown	True	False
Unknown	Ghostly Sightings	Female Ghost	False	False
night	Ghostly Sightings	Female Ghost	False	True
night	Ghostly Sightings	Several Ghosts	False	True
Unknown		Unknown	False	True
night	Unexplained Movements and Physical Manifestations	Several Ghosts	False	True
night	Object and Environmental Manipulation	Unknown	True	True
Unknown	Mysterious Occurrences	Unknown	False	True
Unknown	Unexplained Movements and Physical Manifestations	Unknown	False	False
Unknown	Violent or Tragic Deaths	Unknown	False	False
Unknown	Unexplained Movements and Physical Manifestations	Unknown	True	True
Unknown	Unexplained Movements and Physical Manifestations	Child Ghost	True	False
Unknown	Unexplained Movements and Physical Manifestations	Child Ghost	True	False
Unknown	Ghostly Sightings	Female Ghost	True	False
Unknown		Unknown	False	False
Unknown		Unknown	False	False
morning	Ghostly Sightings	Unknown	False	True
night	Violent or Tragic Deaths	Unknown	False	False
night	Object and Environmental Manipulation	Unknown	False	True
night	Unexplained Movements and Physical Manifestations	Unknown	True	False
Unknown	Sounds and Noises	Unknown	True	True
afternoon		Unknown	True	False
Unknown	Murder	Female Ghost	False	False
Unknown	Ghostly Sightings	Female Ghost	False	False
Unknown	Sounds and Noises	Several Ghosts	True	True
night	Sounds and Noises	Unknown	False	True
Unknown		Unknown	True	False
Unknown	Ghostly Sightings	Several Ghosts	True	True
night	Ghostly Sightings	Several Ghosts	False	True
Unknown	Ghostly Sightings	Several Ghosts	True	False
night		Unknown	False	False
Unknown	Unexplained Movements and Physical Manifestations	Ghost	False	False
Unknown	Murder	Unknown	True	False
night	Ghostly Sightings	Orb	True	True
morning		Unknown	True	True
Unknown	Sounds and Noises	Unknown	False	True
night	Object and Environmental Manipulation	Unknown	True	True
Unknown	Violent or Tragic Deaths	Unknown	False	True
Unknown	Unexplained Movements and Physical Manifestations	Female Ghost	True	False
night	Violent or Tragic Deaths	Unknown	True	True
night	Ghostly Sightings	Several Ghosts	True	True
night	Murder	Unknown	False	True
Unknown	Unexplained Movements and Physical Manifestations	Unknown	True	False
Unknown		Unknown	True	True
Unknown	Mysterious Occurrences	Orb	False	True
night	Ghostly Sightings	Child Ghost	False	True
Unknown	Unexplained Movements and Physical Manifestations	Female Ghost	False	False
Unknown	Sounds and Noises	Unknown	True	True
Unknown	Ghostly Sightings	Female Ghost	True	False
night	Murder	Child Ghost	True	True
Unknown	Unexplained Movements and Physical Manifestations	Female Ghost	False	False
night	Murder	Child Ghost	True	True
Unknown		Several Ghosts	True	False
Unknown	Sounds and Noises	Several Ghosts	True	True
night	Sounds and Noises	Unknown	True	True
Unknown	Sounds and Noises	Unknown	False	True
Unknown	Unexplained Movements and Physical Manifestations	Unknown	True	False
night	Sounds and Noises	Unknown	True	True
Unknown	Fire and Destruction	Several Ghosts	False	True
Unknown		Unknown	True	True
Unknown	Ghostly Sightings	Several Ghosts	False	True
Unknown	Violent or Tragic Deaths	Several Ghosts	False	True
Unknown	Ghostly Sightings	Female Ghost	True	False
Unknown	Ghostly Sightings	Ghost	True	False
Unknown	Unexplained Movements and Physical Manifestations	Several Ghosts	True	True
night	Violent or Tragic Deaths	Several Ghosts	True	True
Unknown	Unexplained Movements and Physical Manifestations	Several Ghosts	False	True
Unknown	Ghostly Sightings	Female Ghost	True	True
night		Unknown	True	False
night	Violent or Tragic Deaths	Several Ghosts	False	True
night	Ghostly Sightings	Male Ghost	True	True
night	Violent or Tragic Deaths	Several Ghosts	True	True
Unknown		Unknown	False	False
night	Ghostly Sightings	Child Ghost	False	True
Unknown	Unexplained Movements and Physical Manifestations	Several Ghosts	False	False
Unknown	Unexplained Movements and Physical Manifestations	Unknown	True	True
Unknown	Sounds and Noises	Unknown	True	True
night	Murder	Unknown	True	False
night	Unexplained Movements and Physical Manifestations	Child Ghost	True	False
Unknown	Unexplained Movements and Physical Manifestations	Several Ghosts	False	False
night	Unexplained Movements and Physical Manifestations	Child Ghost	False	False
night	Mysterious Occurrences	Child Ghost	True	True
Unknown	Sounds and Noises	Several Ghosts	False	True
night	Unexplained Movements and Physical Manifestations	Unknown	False	True
Unknown	Violent or Tragic Deaths	Unknown	False	False
Unknown	Violent or Tragic Deaths	Unknown	False	True
Unknown		Unknown	False	False
night	Ghostly Sightings	Unknown	False	True
night	Object and Environmental Manipulation	Unknown	False	False
night	Object and Environmental Manipulation	Unknown	False	True
night	Murder	Unknown	False	False
Unknown	Violent or Tragic Deaths	Unknown	True	False
Unknown	Violent or Tragic Deaths	Several Ghosts	True	True
Unknown	Unexplained Movements and Physical Manifestations	Child Ghost	True	False
Unknown	Violent or Tragic Deaths	Unknown	False	True
night	Violent or Tragic Deaths	Unknown	True	True
night	Ghostly Sightings	Several Ghosts	False	True
night	Murder	Several Ghosts	False	True
night	Violent or Tragic Deaths	Unknown	False	False
Unknown	Ghostly Sightings	Several Ghosts	False	False
Unknown	Unexplained Movements and Physical Manifestations	Child Ghost	False	False
night	Ghostly Sightings	Child Ghost	True	False
Unknown	Violent or Tragic Deaths	Several Ghosts	True	False
night	Ghostly Sightings	Unknown	True	True
Unknown	Violent or Tragic Deaths	Unknown	False	True
night	Sounds and Noises	Unknown	True	True
Unknown	Ghostly Sightings	Female Ghost	False	False
Unknown	Murder	Unknown	True	True
Unknown	Unexplained Movements and Physical Manifestations	Several Ghosts	True	True
night	Object and Environmental Manipulation	Unknown	False	True
Unknown		Unknown	False	True
night	Ghostly Sightings	Unknown	True	True
night	Murder	Several Ghosts	True	False
night		Unknown	True	False
night	Ghostly Sightings	Child Ghost	True	False
night	Unexplained Movements and Physical Manifestations	Child Ghost	False	True
night	Ghostly Sightings	Child Ghost	False	True
night	Mysterious Occurrences	Several Ghosts	True	True
night	Sounds and Noises	Unknown	False	True
night	Object and Environmental Manipulation	Child Ghost	True	True
night	Sounds and Noises	Unknown	False	True
Unknown	Sounds and Noises	Unknown	True	True
Unknown		Unknown	True	True
night	Unexplained Movements and Physical Manifestations	Several Ghosts	True	True
Unknown	Violent or Tragic Deaths	Unknown	True	False
Unknown	Unexplained Movements and Physical Manifestations	Child Ghost	True	True
Unknown	Sounds and Noises	Unknown	False	True
night	Ghostly Sightings	Several Ghosts	True	True
night	Sounds and Noises	Unknown	True	True
night	Violent or Tragic Deaths	Unknown	False	True
night	Mysterious Occurrences	Orb	True	True
night	Ghostly Sightings	Male Ghost	False	False
Unknown	Violent or Tragic Deaths	Unknown	False	True
Unknown	Murder	Child Ghost	True	True
Unknown	Ghostly Sightings	Several Ghosts	True	True
night	Violent or Tragic Deaths	Unknown	False	True
night	Sounds and Noises	Unknown	False	True
night	Ghostly Sightings	Female Ghost	False	True
Unknown		Unknown	True	True
night		Unknown	False	True
Unknown	Ghostly Sightings	Child Ghost	True	True
night	Unexplained Movements and Physical Manifestations	Unknown	True	False
night	Unexplained Movements and Physical Manifestations	Unknown	True	True
night	Fire and Destruction	Unknown	False	True
Unknown	Ghostly Sightings	Several Ghosts	True	False
Unknown		Unknown	True	False
Unknown		Unknown	True	True
night	Murder	Unknown	True	False
night	Unexplained Movements and Physical Manifestations	Several Ghosts	False	True
Unknown	Sounds and Noises	Unknown	False	True
night	Ghostly Sightings	Child Ghost	True	True
Unknown	Murder	Unknown	True	True
night	Object and Environmental Manipulation	Female Ghost	False	False
night	Ghostly Sightings	Several Ghosts	True	True
night	Sounds and Noises	Child Ghost	True	True
night	Ghostly Sightings	Several Ghosts	False	True
night		Unknown	True	False
morning		Unknown	False	False
night		Unknown	False	True
Unknown		Unknown	True	False
night	Unexplained Movements and Physical Manifestations	Child Ghost	True	True
night	Sounds and Noises	Unknown	False	True
Unknown		Unknown	False	True
Unknown	Mysterious Occurrences	Unknown	True	True
Unknown	Unexplained Movements and Physical Manifestations	Male Ghost	True	True
night	Ghostly Sightings	Child Ghost	False	True
night	Ghostly Sightings	Child Ghost	True	False
night	Violent or Tragic Deaths	Unknown	False	True
night	Unexplained Movements and Physical Manifestations	Female Ghost	False	True
Unknown	Unexplained Movements and Physical Manifestations	Unknown	False	True
night	Mysterious Occurrences	Several Ghosts	False	True
night	Sounds and Noises	Several Ghosts	True	True
night		Unknown	True	False
Unknown	Mysterious Occurrences	Orb	True	True
Unknown	Violent or Tragic Deaths	Unknown	True	False
Unknown	Unexplained Movements and Physical Manifestations	Ghost	True	False
Unknown	Ghostly Sightings	Several Ghosts	True	True
night	Ghostly Sightings	Several Ghosts	False	False
Unknown	Ghostly Sightings	Several Ghosts	True	True
Unknown	Mysterious Occurrences	Unknown	False	True
night	Unexplained Movements and Physical Manifestations	Unknown	True	True
Unknown	Sounds and Noises	Unknown	True	True
night	Violent or Tragic Deaths	Several Ghosts	False	True
night	Ghostly Sightings	Child Ghost	True	True
night	Unexplained Movements and Physical Manifestations	Unknown	False	True
Unknown	Ghostly Sightings	Several Ghosts	False	True
night	Mysterious Occurrences	Orb	False	True
night	Ghostly Sightings	Child Ghost	True	False
night	Sounds and Noises	Unknown	False	True
night	Sounds and Noises	Unknown	True	True
night	Unexplained Movements and Physical Manifestations	Unknown	True	True
Unknown	Sounds and Noises	Unknown	False	True
Unknown	Unexplained Movements and Physical Manifestations	Child Ghost	True	False
Unknown		Several Ghosts	False	True
Unknown	Violent or Tragic Deaths	Unknown	False	False
night		Unknown	True	False
night	Sounds and Noises	Unknown	False	True
night	Murder	Unknown	False	True
Unknown		Unknown	False	True
night	Murder	Several Ghosts	True	True
night	Unexplained Movements and Physical Manifestations	Child Ghost	False	True
night	Unexplained Movements and Physical Manifestations	Male Ghost	False	True
Unknown	Ghostly Sightings	Male Ghost	False	True
Unknown	Ghostly Sightings	Child Ghost	True	True
Unknown		Unknown	False	True
evening		Several Ghosts	False	False
Unknown	Ghostly Sightings	Several Ghosts	True	False
night	Object and Environmental Manipulation	Male Ghost	True	True
Unknown	Violent or Tragic Deaths	Unknown	False	True
Unknown	Mysterious Occurrences	Orb	True	False
Unknown	Unexplained Movements and Physical Manifestations	Several Ghosts	False	True
Unknown	Mysterious Occurrences	Unknown	True	False
night	Ghostly Sightings	Unknown	False	True
Unknown	Sounds and Noises	Unknown	False	True
night	Unexplained Movements and Physical Manifestations	Unknown	False	True
night		Unknown	False	False
Unknown	Unexplained Movements and Physical Manifestations	Female Ghost	True	False
night	Violent or Tragic Deaths	Female Ghost	True	False
night	Ghostly Sightings	Female Ghost	True	False
night	Fire and Destruction	Unknown	False	True
Unknown	Ghostly Sightings	Unknown	False	True
night	Violent or Tragic Deaths	Unknown	False	True
Unknown	Unexplained Movements and Physical Manifestations	Female Ghost	False	False
night	Fire and Destruction	Child Ghost	True	True
night	Ghostly Sightings	Female Ghost	False	False
Unknown	Unexplained Movements and Physical Manifestations	Unknown	False	True
night	Ghostly Sightings	Several Ghosts	False	True
Unknown	Ghostly Sightings	Several Ghosts	False	False
Unknown	Ghostly Sightings	Child Ghost	False	True
Unknown	Unexplained Movements and Physical Manifestations	Unknown	False	True
night	Object and Environmental Manipulation	Unknown	False	False
Unknown	Unexplained Movements and Physical Manifestations	Unknown	True	False
night	Murder	Unknown	True	False
night	Ghostly Sightings	Child Ghost	True	False
night		Unknown	False	False
night	Ghostly Sightings	Child Ghost	False	False
night	Fire and Destruction	Female Ghost	True	True
Unknown	Ghostly Sightings	Female Ghost	False	True
Unknown	Violent or Tragic Deaths	Child Ghost	True	False
morning	Sounds and Noises	Several Ghosts	True	True
morning	Murder	Unknown	False	False
night	Ghostly Sightings	Female Ghost	True	False
night	Unexplained Movements and Physical Manifestations	Unknown	False	False
night		Unknown	False	False
night	Violent or Tragic Deaths	Unknown	True	True
Unknown	Ghostly Sightings	Several Ghosts	True	True
night	Unexplained Movements and Physical Manifestations	Several Ghosts	True	True
night	Unexplained Movements and Physical Manifestations	Female Ghost	True	True
Unknown	Murder	Several Ghosts	False	True
Unknown	Mysterious Occurrences	Unknown	True	True
Unknown	Violent or Tragic Deaths	Female Ghost	False	True
night	Murder	Child Ghost	True	False
night	Sounds and Noises	Unknown	True	True
Unknown	Sounds and Noises	Unknown	True	True
Unknown		Unknown	False	True
night	Mysterious Occurrences	Orb	False	False
night	Ghostly Sightings	Female Ghost	True	True
night	Murder	Unknown	True	True
Unknown	Unexplained Movements and Physical Manifestations	Female Ghost	False	False
night		Unknown	True	True
night	Ghostly Sightings	Several Ghosts	False	True
night	Object and Environmental Manipulation	Unknown	False	True
night	Murder	Unknown	False	True
evening	Unexplained Movements and Physical Manifestations	Male Ghost	True	True
Unknown	Ghostly Sightings	Several Ghosts	True	True
Unknown	Violent or Tragic Deaths	Female Ghost	True	True
night	Unexplained Movements and Physical Manifestations	Female Ghost	False	False
night		Unknown	True	False
Unknown	Violent or Tragic Deaths	Child Ghost	True	False
night	Unexplained Movements and Physical Manifestations	Unknown	False	True
night	Unexplained Movements and Physical Manifestations	Female Ghost	False	True
night	Unexplained Movements and Physical Manifestations	Male Ghost	True	False
night	Unexplained Movements and Physical Manifestations	Several Ghosts	True	False
night	Unexplained Movements and Physical Manifestations	Several Ghosts	True	True
night	Ghostly Sightings	Several Ghosts	True	True
afternoon	Object and Environmental Manipulation	Child Ghost	False	True
Unknown	Violent or Tragic Deaths	Male Ghost	False	False
Unknown	Unexplained Movements and Physical Manifestations	Orb	True	True
night	Ghostly Sightings	Female Ghost	True	True
night	Unexplained Movements and Physical Manifestations	Unknown	True	True
Unknown	Unexplained Movements and Physical Manifestations	Male Ghost	False	True
Unknown	Ghostly Sightings	Several Ghosts	True	False
night		Unknown	True	True
Unknown	Ghostly Sightings	Several Ghosts	True	False
Unknown	Sounds and Noises	Several Ghosts	False	True
night		Several Ghosts	False	False
night	Object and Environmental Manipulation	Unknown	True	True
Unknown	Violent or Tragic Deaths	Unknown	True	False
night	Ghostly Sightings	Several Ghosts	False	True
night		Unknown	True	False
Unknown	Ghostly Sightings	Several Ghosts	False	False
night	Ghostly Sightings	Several Ghosts	False	True
night	Murder	Unknown	True	True
night	Object and Environmental Manipulation	Unknown	False	False
Unknown	Ghostly Sightings	Several Ghosts	False	False
night	Mysterious Occurrences	Unknown	True	True
night	Violent or Tragic Deaths	Child Ghost	False	True
Unknown		Unknown	True	True
night	Ghostly Sightings	Several Ghosts	False	True
Unknown	Unexplained Movements and Physical Manifestations	Female Ghost	True	False
Unknown	Fire and Destruction	Several Ghosts	False	True
night	Unexplained Movements and Physical Manifestations	Female Ghost	False	False
night	Violent or Tragic Deaths	Several Ghosts	True	True
Unknown		Unknown	False	False
Unknown	Unexplained Movements and Physical Manifestations	Several Ghosts	True	False
night	Object and Environmental Manipulation	Unknown	False	True
Unknown		Unknown	False	True
night	Unexplained Movements and Physical Manifestations	Several Ghosts	False	True
night		Unknown	True	True
night	Sounds and Noises	Several Ghosts	False	True
Unknown	Ghostly Sightings	Male Ghost	False	False
Unknown	Unexplained Movements and Physical Manifestations	Several Ghosts	False	False
night	Unexplained Movements and Physical Manifestations	Female Ghost	True	True
night	Violent or Tragic Deaths	Unknown	False	True
night	Unexplained Movements and Physical Manifestations	Unknown	True	True
night	Sounds and Noises	Unknown	True	True
Unknown	Unexplained Movements and Physical Manifestations	Male Ghost	False	False
Unknown		Unknown	False	True
night	Unexplained Movements and Physical Manifestations	Female Ghost	True	True
night	Ghostly Sightings	Child Ghost	False	False
Unknown	Murder	Unknown	True	False
night	Ghostly Sightings	Female Ghost	False	True
Unknown	Mysterious Occurrences	Unknown	True	True
Unknown	Violent or Tragic Deaths	Unknown	True	True
night	Violent or Tragic Deaths	Unknown	True	True
Unknown	Unexplained Movements and Physical Manifestations	Ghost	False	False
Unknown	Ghostly Sightings	Male Ghost	False	False
Unknown	Ghostly Sightings	Male Ghost	True	False
night	Unexplained Movements and Physical Manifestations	Several Ghosts	False	True
night	Unexplained Movements and Physical Manifestations	Several Ghosts	True	False
Unknown	Ghostly Sightings	Male Ghost	True	False
night	Murder	Unknown	True	True
Unknown		Several Ghosts	False	True
Unknown	Ghostly Sightings	Unknown	True	True
Unknown	Violent or Tragic Deaths	Unknown	False	True
Unknown	Sounds and Noises	Several Ghosts	True	True
night	Mysterious Occurrences	Unknown	True	True
Unknown	Ghostly Sightings	Child Ghost	True	False
night	Sounds and Noises	Unknown	True	True
night	Object and Environmental Manipulation	Female Ghost	False	True
night	Ghostly Sightings	Female Ghost	True	False
Unknown	Unexplained Movements and Physical Manifestations	Several Ghosts	True	True
morning		Unknown	False	True
Unknown		Unknown	False	False
Unknown		Unknown	True	True
night	Ghostly Sightings	Child Ghost	True	True
Unknown	Unexplained Movements and Physical Manifestations	Female Ghost	True	False
night	Violent or Tragic Deaths	Several Ghosts	True	False
Unknown	Unexplained Movements and Physical Manifestations	Female Ghost	True	False
night	Mysterious Occurrences	Several Ghosts	False	False
night	Object and Environmental Manipulation	Unknown	True	True
night		Orb	True	False
Unknown	Ghostly Sightings	Female Ghost	True	False
Unknown	Fire and Destruction	Unknown	True	False
night	Murder	Unknown	False	True
Unknown		Unknown	False	False
Unknown	Unexplained Movements and Physical Manifestations	Unknown	False	False
Unknown	Violent or Tragic Deaths	Unknown	True	False
night	Murder	Unknown	True	True
Unknown	Murder	Child Ghost	True	True
night	Object and Environmental Manipulation	Female Ghost	True	True
Unknown	Ghostly Sightings	Female Ghost	False	False
Unknown	Unexplained Movements and Physical Manifestations	Male Ghost	True	False
Unknown	Violent or Tragic Deaths	Unknown	False	False
Unknown	Object and Environmental Manipulation	Several Ghosts	False	True
night	Murder	Several Ghosts	True	False
Unknown	Ghostly Sightings	Several Ghosts	True	True
night	Unexplained Movements and Physical Manifestations	Child Ghost	True	True
Unknown	Ghostly Sightings	Female Ghost	False	True
Unknown		Unknown	True	True
night	Unexplained Movements and Physical Manifestations	Female Ghost	False	True
Unknown		Unknown	True	False
Unknown		Female Ghost	False	False
night	Unexplained Movements and Physical Manifestations	Several Ghosts	True	False
night	Ghostly Sightings	Several Ghosts	False	False
Unknown	Murder	Unknown	False	False
night	Unexplained Movements and Physical Manifestations	Orb	False	True
Unknown	Sounds and Noises	Female Ghost	True	True
Unknown	Ghostly Sightings	Several Ghosts	True	False
night	Sounds and Noises	Several Ghosts	True	True
night	Violent or Tragic Deaths	Unknown	False	True
Unknown	Ghostly Sightings	Female Ghost	False	False
Unknown	Violent or Tragic Deaths	Several Ghosts	True	True
night	Object and Environmental Manipulation	Several Ghosts	True	False
Unknown	Unexplained Movements and Physical Manifestations	Unknown	False	True
night		Unknown	False	True
night	Sounds and Noises	Unknown	True	True
Unknown	Murder	Unknown	True	False
Unknown	Unexplained Movements and Physical Manifestations	Unknown	True	True
night	Violent or Tragic Deaths	Several Ghosts	True	True
Unknown	Unexplained Movements and Physical Manifestations	Male Ghost	False	False
night		Unknown	False	True
Unknown	Sounds and Noises	Unknown	False	True
night	Sounds and Noises	Unknown	False	True
Unknown		Unknown	False	False
Unknown		Unknown	False	True
Unknown	Unexplained Movements and Physical Manifestations	Several Ghosts	True	False
Unknown	Murder	Unknown	True	True
Unknown	Mysterious Occurrences	Unknown	True	False
night	Violent or Tragic Deaths	Unknown	True	True
Unknown	Unexplained Movements and Physical Manifestations	Child Ghost	True	False
Unknown	Unexplained Movements and Physical Manifestations	Child Ghost	True	False
night	Violent or Tragic Deaths	Child Ghost	False	True
Unknown	Violent or Tragic Deaths	Unknown	False	False
Unknown	Murder	Several Ghosts	False	True
Unknown	Sounds and Noises	Unknown	True	True
Unknown	Ghostly Sightings	Female Ghost	True	True
night	Violent or Tragic Deaths	Unknown	True	True
night	Object and Environmental Manipulation	Several Ghosts	True	True
night		Unknown	True	True
night	Ghostly Sightings	Female Ghost	True	True
night	Ghostly Sightings	Female Ghost	False	True
Unknown	Unexplained Movements and Physical Manifestations	Unknown	True	True
night	Violent or Tragic Deaths	Unknown	True	True
Unknown	Ghostly Sightings	Male Ghost	False	True
night	Mysterious Occurrences	Unknown	False	True
night		Unknown	True	True
Unknown	Ghostly Sightings	Several Ghosts	False	False
night	Unexplained Movements and Physical Manifestations	Female Ghost	False	True
night	Violent or Tragic Deaths	Unknown	True	True
night	Ghostly Sightings	Male Ghost	False	True
night	Ghostly Sightings	Unknown	True	True
Unknown	Unexplained Movements and Physical Manifestations	Female Ghost	False	True
night	Unexplained Movements and Physical Manifestations	Unknown	False	True
night		Unknown	True	True
Unknown	Ghostly Sightings	Several Ghosts	False	True
night	Unexplained Movements and Physical Manifestations	Unknown	False	True
night		Unknown	False	False
Unknown	Violent or Tragic Deaths	Child Ghost	False	False
night	Unexplained Movements and Physical Manifestations	Male Ghost	True	True
night		Unknown	True	True
Unknown	Violent or Tragic Deaths	Unknown	True	True
night	Violent or Tragic Deaths	Unknown	True	True
night	Unexplained Movements and Physical Manifestations	Child Ghost	False	True
Unknown	Unexplained Movements and Physical Manifestations	Female Ghost	True	True
Unknown	Unexplained Movements and Physical Manifestations	Female Ghost	True	True
Unknown	Unexplained Movements and Physical Manifestations	Several Ghosts	True	False
Unknown	Ghostly Sightings	Several Ghosts	True	True
Unknown	Unexplained Movements and Physical Manifestations	Unknown	True	True
Unknown	Murder	Unknown	False	False
night	Unexplained Movements and Physical Manifestations	Male Ghost	True	False
night	Unexplained Movements and Physical Manifestations	Male Ghost	True	False
night		Unknown	True	True
afternoon	Unexplained Movements and Physical Manifestations	Several Ghosts	False	False
Unknown	Ghostly Sightings	Several Ghosts	False	False
Unknown	Unexplained Movements and Physical Manifestations	Female Ghost	True	False
Unknown	Unexplained Movements and Physical Manifestations	Female Ghost	False	False
morning	Ghostly Sightings	Female Ghost	False	True
Unknown	Ghostly Sightings	Several Ghosts	False	False
morning	Object and Environmental Manipulation	Unknown	True	True
Unknown		Unknown	False	True
night	Ghostly Sightings	Child Ghost	True	True
night	Ghostly Sightings	Several Ghosts	True	True
night	Unexplained Movements and Physical Manifestations	Several Ghosts	True	True
Unknown		Unknown	False	True
Unknown	Unexplained Movements and Physical Manifestations	Female Ghost	False	True
Unknown		Child Ghost	True	False
Unknown	Murder	Male Ghost	False	True
morning	Mysterious Occurrences	Male Ghost	False	True
night	Ghostly Sightings	Child Ghost	False	True
Unknown	Unexplained Movements and Physical Manifestations	Male Ghost	True	True
night	Murder	Unknown	True	False
night	Unexplained Movements and Physical Manifestations	Unknown	True	True
night		Several Ghosts	False	False
morning	Murder	Several Ghosts	False	False
Unknown		Unknown	True	True
Unknown	Violent or Tragic Deaths	Unknown	True	False
night	Murder	Unknown	False	True
night	Murder	Unknown	True	True
Unknown		Unknown	True	False
night	Violent or Tragic Deaths	Several Ghosts	True	False
Unknown	Ghostly Sightings	Child Ghost	True	True
night	Unexplained Movements and Physical Manifestations	Female Ghost	True	True
Unknown		Unknown	False	False
night	Murder	Female Ghost	True	True
Unknown	Unexplained Movements and Physical Manifestations	Male Ghost	False	False
Unknown	Ghostly Sightings	Several Ghosts	False	False
night	Sounds and Noises	Unknown	True	True
Unknown	Ghostly Sightings	Several Ghosts	True	False
night	Sounds and Noises	Unknown	False	True
Unknown		Unknown	False	False
Unknown		Unknown	False	False
Unknown	Unexplained Movements and Physical Manifestations	Unknown	True	True
night		Unknown	True	False
night	Ghostly Sightings	Unknown	True	True
night	Mysterious Occurrences	Unknown	False	True
night	Violent or Tragic Deaths	Unknown	False	True
Unknown	Ghostly Sightings	Several Ghosts	False	True
Unknown		Unknown	False	True
Unknown	Violent or Tragic Deaths	Unknown	True	False
night	Sounds and Noises	Child Ghost	False	True
Unknown	Sounds and Noises	Unknown	True	True
night	Unexplained Movements and Physical Manifestations	Unknown	True	False
night	Fire and Destruction	Unknown	True	True
night	Unexplained Movements and Physical Manifestations	Child Ghost	True	True
Unknown		Unknown	False	False
Unknown	Unexplained Movements and Physical Manifestations	Male Ghost	True	False
Unknown	Violent or Tragic Deaths	Female Ghost	True	False
Unknown	Ghostly Sightings	Several Ghosts	True	True
Unknown	Ghostly Sightings	Female Ghost	True	False
night	Sounds and Noises	Unknown	True	True
